,artist_genre,artist_name,ft_acousticness,ft_danceability,ft_energy,ft_instrumentalness,ft_key,ft_liveness,ft_loudness,ft_mode,ft_speechiness,ft_tempo,ft_valence,rank,time_range,track_id,track_name,track_popularity,track_release_date,key_note
0,"['anime rock', 'j-pop']",Official HIGE DANdism,0.00157,0.57,0.758,0.0,8,0.367,-3.997,1,0.0323,97.959,0.707,1,short_term,0YSwpzZT1sUkrL3kTIoHE2,Itan na star,38,2017-04-19,G#
1,"['k-hop', 'k-pop', 'korean r&b']",DPR LIVE,0.0935,0.83,0.634,0.0,8,0.133,-5.649,1,0.13,108.038,0.399,2,short_term,4tJl1AVYE6WFAWtuAEhxpM,Please,48,2017-03-15,G#
2,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",Logic,0.0475,0.737,0.854,0.0,3,0.0905,-6.414,0,0.221,150.621,0.65,3,short_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin,72,2018-06-15,D#
3,"['late romantic era', 'violin']",Pablo de Sarasate,0.815,0.284,0.0949,0.327,0,0.127,-22.629,0,0.0421,101.058,0.0465,4,short_term,5aq7wRwq9IDDqAa56x7Yws,"Zigeunerweisen, Op. 20: Lento",37,1971,C
4,"['contemporary jazz', 'contemporary post-bop', 'japanese jazz', 'jazz funk', 'jazz fusion']",Hiromi,0.993,0.299,0.0919,0.938,7,0.0983,-22.014,1,0.041,104.526,0.107,5,short_term,2tvXdkylO2rwJXziHNpQ26,Blackbird,45,2019-08-23,G
5,"['indie r&b', 'pop']",Bruno Major,0.491,0.772,0.256,0.00612,7,0.144,-8.545,0,0.0481,118.902,0.357,6,short_term,2k9N4caeCIJLOWwWwssrEM,Easily,75,2017-08-31,G
6,"['alternative r&b', 'indie r&b', 'indie soul']",Mac Ayres,0.373,0.722,0.282,0.00557,5,0.147,-7.484,1,0.106,91.367,0.217,7,short_term,58dSdjfEYNSxte1aNVxuNf,Easy,73,2017-08-11,F
7,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",Sergei Rachmaninoff,0.982,0.229,0.0967,0.901,11,0.0815,-20.557,0,0.034,92.069,0.0534,8,short_term,2GBwDtpuNit18S9L3hFVAv,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: I. Vivace",3,2006,B
8,"['j-pop', 'j-rock', 'japanese alternative rock']",androp,0.726,0.584,0.56,0.0,2,0.096,-7.3,1,0.0384,74.997,0.338,9,short_term,4s6ZktLNLZnk1osl3Vf1ZO,Koi,55,2019-02-20,D
9,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Dr. Dre,0.055,0.905,0.85,0.0,4,0.0903,-2.795,0,0.331,99.375,0.498,10,short_term,0EZMXJMWf0tLKRWwCiA6Sx,Let's Get High,55,1999-11-16,E
10,['neo mellow'],Jack Johnson,0.828,0.696,0.229,1.34e-05,7,0.152,-7.911,1,0.0331,113.273,0.603,11,short_term,41Az1BCotlAUt7Ud8k6H2Y,Sunsets For Somebody Else,67,2017-09-08,G
11,"['classical', 'early romantic era']",Felix Mendelssohn,0.983,0.366,0.188,0.943,7,0.126,-19.39,0,0.0335,73.069,0.193,12,short_term,2eA55e1I1PmBIW8gBZ9VNK,"Klavierkonzert Nr. 1 g-Moll, Op. 25: I. Molto allegro con fuoco",16,1993-11-16,G
12,['piano cover'],Kowrites,0.93,0.59,0.344,0.903,1,0.368,-18.316,1,0.0559,75.068,0.456,13,short_term,63SdQkVlToSix76P4VmOQO,Shibuya Stroll,40,2019-11-22,C#
13,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",Sergei Rachmaninoff,0.988,0.198,0.0123,0.963,2,0.0648,-32.228,1,0.0379,140.388,0.0338,14,short_term,2oy9WInmvap0o7LYGW3T8n,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: II. Andante",2,2006,D
14,"['modern blues', 'soul']",Leon Bridges,0.229,0.58,0.687,0.0,6,0.109,-5.4,1,0.106,76.014,0.187,15,short_term,1Omt5bfz1tZUCqd26HxbS0,Beyond,72,2018-05-04,F#
15,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Dr. Dre,0.0827,0.924,0.74,0.0,8,0.163,-1.299,1,0.0774,133.974,0.621,16,short_term,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,72,1999-11-16,G#
16,"['catstep', 'complextro', 'deep dubstep', 'edm', 'electro house']",Nitro Fun,0.000611,0.627,0.991,0.675,1,0.396,-2.9,0,0.0804,128.007,0.516,17,short_term,2iQVxrAzwy8dMG0yldSaIg,New Game,54,2014-02-10,C#
17,"['alternative r&b', 'indie r&b', 'indie soul']",Mac Ayres,0.529,0.706,0.799,0.000982,4,0.275,-8.783,0,0.278,81.175,0.665,18,short_term,4M4ECspANZPJuqacpi1NTn,Should We Take The Van?,43,2017-08-11,E
18,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Kendrick Lamar,0.000282,0.908,0.621,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,0.421,19,short_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,85,2017-04-14,C#
19,"['cali rap', 'gangster rap', 'hyphy', 'rap', 'southern hip hop', 'trap', 'west coast trap']",Problem,0.0539,0.837,0.788,2.31e-06,10,0.27,-6.289,0,0.153,100.053,0.311,20,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,A#
20,"['classical', 'early romantic era']",Felix Mendelssohn,0.982,0.392,0.129,0.928,11,0.118,-21.389,0,0.0368,139.804,0.0952,21,short_term,1XlvyqVNz36t1CyWF3HQIM,"Capriccio brillant in B Minor, Op. 22",10,1993-11-16,B
21,"['classical', 'early romantic era']",Felix Mendelssohn,0.988,0.393,0.158,0.938,2,0.0934,-19.976,0,0.0374,74.422,0.0659,22,short_term,2OD4MN67xEcDZlZRedolTB,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: I. Allegro appassionato",13,1993-11-16,D
22,"['classical', 'post-romantic era', 'violin']",Fritz Kreisler,0.982,0.337,0.229,0.126,7,0.214,-13.939,0,0.0392,97.926,0.253,23,short_term,2TWxKZIa9HvlLI6xbSVUQF,Tartini: The Devil's Trill,11,2015-09-25,G
23,"['classical', 'post-romantic era', 'violin']",Fritz Kreisler,0.974,0.279,0.154,0.112,5,0.0858,-16.05,1,0.0465,108.928,0.166,24,short_term,7mqqI1Siu6ZOdC2KgOGGud,Kreisler: Andantino - in the style of Martini,10,2015-09-25,F
24,"['classical', 'classical performance', 'string quartet']",Borodin Quartet,0.908,0.407,0.262,0.652,2,0.0625,-17.011,0,0.0546,140.629,0.441,25,short_term,6BebarNIdE5FfxXDlPpZ5y,"Souvenir De Florence, Op. 70: IV. Allegro Vivace",37,2000-11-01,D
25,"['classical', 'early romantic era']",Felix Mendelssohn,0.986,0.223,0.0112,0.934,4,0.0849,-34.058,1,0.0357,85.576,0.0461,26,short_term,1AePIQwSF64zof6xXPSO6M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: II. Andante",15,1993-11-16,E
26,"['c-pop', 'cantopop', 'classic cantopop']",Leslie Cheung,0.716,0.541,0.38,9.56e-06,0,0.329,-12.094,1,0.027,72.015,0.192,27,short_term,1eMujWp9h2cSEPIiO6xOhN,有心人,47,1996-11-26,C
27,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",Eminem,0.0441,0.809,0.737,0.0,1,0.341,-5.186,1,0.108,80.025,0.367,28,short_term,2XTquzYQAdT1Hk78bOUwsv,Greatest,73,2018-08-31,C#
28,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Dr. Dre,0.0281,0.922,0.909,0.0,10,0.0856,-2.429,0,0.27,95.295,0.309,29,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,71,1999-11-16,A#
29,"['classical', 'early romantic era']",Felix Mendelssohn,0.98,0.448,0.177,0.916,7,0.05,-20.146,1,0.0352,87.762,0.334,30,short_term,5JruqgGPc5ImJixUyFRHr7,"Piano Concerto No. 1 in G Minor, Op. 25, MWV O7: 3. Presto",15,2003-01-01,G
30,"['c-pop', 'cantopop', 'classic cantopop']",Leslie Cheung,0.452,0.239,0.286,0.000125,0,0.123,-12.616,1,0.0325,147.689,0.119,31,short_term,5OTlZY4moBdA3UttjlZBU9,"緣份 - 電影 ""緣份"" 主題曲",45,2016-09-09,C
31,"['c-pop', 'cantopop', 'classic cantopop']",Leslie Cheung,0.264,0.538,0.426,0.0012,0,0.472,-9.985,1,0.0289,133.786,0.322,32,short_term,5RLv04XXxe0Nc4W7DTBJGT,風繼續吹,48,1983,C
32,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Dr. Dre,0.359,0.695,0.717,0.0,11,0.277,-1.454,0,0.395,75.888,0.61,33,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz,52,1999-11-16,B
33,"['classical', 'early romantic era']",Felix Mendelssohn,0.988,0.26,0.016,0.883,10,0.0717,-30.089,1,0.0385,130.712,0.0379,34,short_term,72dgfW1USZQy5liiRxkeS7,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: II. Adagio - Molto sostenuto",36,1993-11-16,A#
34,"['alternative r&b', 'indie r&b', 'indie soul']",Mac Ayres,0.117,0.708,0.507,0.000547,6,0.101,-8.876,0,0.0549,76.757,0.543,35,short_term,5q0zxo739jt8HAyo88vNkt,The Devil's in the Details,58,2017-08-11,F#
35,"['classical', 'early romantic era']",Felix Mendelssohn,0.976,0.328,0.196,0.938,7,0.0911,-20.351,1,0.0383,81.157,0.345,36,short_term,1hpzM9mfQr9cZQBYJo9B1M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: III. Presto",14,1993-11-16,G
36,"['c-pop', 'cantopop', 'classic cantopop']",Leslie Cheung,0.945,0.558,0.119,1.5e-05,0,0.197,-16.353,1,0.0449,129.569,0.17,37,short_term,1mSrXFejuVyMxWgwWCYgtq,"今生今世(電影""金枝玉葉""歌曲)",44,2010-01-01,C
37,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",Sergei Rachmaninoff,0.976,0.24,0.0895,0.909,9,0.0885,-23.998,1,0.0367,82.523,0.126,38,short_term,27sVyaosy1rSRB3hO859UU,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: III. Allegro Vivace",1,2006,A
38,"['classical', 'early romantic era']",Felix Mendelssohn,0.989,0.444,0.176,0.86,3,0.0802,-20.077,1,0.0393,109.329,0.17,39,short_term,5dx08KrsyuIdg6LtjuZSfC,"Rondo brillant in E-Flat Major, Op. 29",9,1993-11-16,D#
39,"['chicago rap', 'rap']",Kanye West,0.000248,0.529,0.9,1.21e-05,1,0.0426,-3.503,1,0.418,180.291,0.434,40,short_term,2QpGZOhTCHHiKmpSO9FW4h,Follow God,88,2019-10-25,C#
40,"['k-hop', 'k-indie', 'k-pop', 'korean pop', 'korean r&b']",Zion.T,0.49,0.662,0.293,4.79e-06,4,0.122,-11.311,1,0.122,91.16,0.304,41,short_term,0q3xk0VI0w7omVXYA09sVw,Eat,57,2015-05-19,E
41,"['late romantic era', 'violin']",Pablo de Sarasate,0.909,0.49,0.103,0.0238,9,0.0987,-20.007,0,0.0627,84.019,0.26,42,short_term,5u8nn1mjHzMtaCm0Lfo0Qk,Sarasate : Caprice basque Op.24,12,1993-11-10,A
42,"['classical', 'early romantic era']",Felix Mendelssohn,0.986,0.388,0.181,0.893,2,0.172,-20.336,1,0.0401,81.668,0.246,43,short_term,6vO4D4UBaUDrK3gBFUOUCU,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: III. Finale: Presto scherzando",11,1993-11-16,D
43,"['j-pop', 'j-rock', 'visual kei']",ONE OK ROCK,0.000782,0.427,0.99,0.0,5,0.0956,-3.55,1,0.184,195.051,0.491,44,short_term,08d7Ulc4Lra4rOa9oQtFML,Mikansei koukyoukyoku,46,2010-06-09,F
44,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Kendrick Lamar,0.00589,0.884,0.657,0.0,6,0.154,-4.569,0,0.0977,107.059,0.489,45,short_term,0N3W5peJUQtI4eyR6GJT5O,King Kunta,75,2015-03-16,F#
45,"['catstep', 'complextro', 'deep dubstep', 'edm', 'electro house']",Nitro Fun,0.000287,0.626,0.96,0.000304,4,0.894,-4.234,0,0.0837,128.001,0.146,46,short_term,0VV4lfEdeV4PEAjuQH72N8,Cheat Codes,52,2014-04-21,E
46,"['adult standards', 'canadian pop', 'lounge']",Michael Bublé,0.491,0.402,0.605,0.0,2,0.33,-7.257,1,0.0724,209.648,0.59,47,short_term,1WqsREavcr6qHA8oAbnaIa,That's Life,32,2007-05-01,D
47,"['dance pop', 'pop', 'r&b', 'urban contemporary']",Mariah Carey,0.18,0.504,0.61,0.0,7,0.0688,-7.281,1,0.0339,150.097,0.352,48,short_term,1bCQIvugIRkL0yLG5cvQcZ,All I Want for Christmas Is You,72,2019-11-01,G
48,"['c-pop', 'cantopop', 'classic cantopop']",Leslie Cheung,0.777,0.573,0.337,8.03e-05,5,0.16,-12.028,1,0.026,105.556,0.312,49,short_term,21pfcRjH4iqUg7EliHMI4J,飛機師的風衣,36,2016-09-09,F
49,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",Sergei Rachmaninoff,0.989,0.124,0.00653,0.876,5,0.107,-28.525,0,0.0365,74.561,0.0387,50,short_term,256pkGJdfTu88nGtOUuDp7,"Concerto pour Piano et Orchestre No. 4 en Sol Mineur, Op. 40: II. Largo",1,2006,F
0,"['cali rap', 'gangster rap', 'hyphy', 'rap', 'southern hip hop', 'trap', 'west coast trap']",Problem,0.0539,0.837,0.788,2.31e-06,10,0.27,-6.289,0,0.153,100.053,0.311,1,medium_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,A#
1,['turntablism'],C2C,0.0672,0.72,0.595,4.73e-05,2,0.0775,-6.109,0,0.0976,111.0,0.486,2,medium_term,1SayqEg8HKK2IeIEWjdYxY,Down The Road,55,2012-01-01,D
2,['escape room'],Anderson .Paak,0.0731,0.568,0.873,0.0,1,0.367,-5.22,1,0.265,106.783,0.547,3,medium_term,6BvtitRX5lQC87YlA6rq0n,Bubblin,66,2018-05-17,C#
3,['escape room'],Anderson .Paak,0.0302,0.819,0.596,4.59e-06,7,0.102,-7.697,0,0.123,108.204,0.473,4,medium_term,70pZIQqQ37SrNCADx0FiPN,Jet Black (feat. Brandy),68,2019-04-12,G
4,"['k-hop', 'k-pop', 'korean r&b']",DPR LIVE,0.0935,0.83,0.634,0.0,8,0.133,-5.649,1,0.13,108.038,0.399,5,medium_term,4tJl1AVYE6WFAWtuAEhxpM,Please,48,2017-03-15,G#
5,"['j-pop', 'j-rock', 'japanese alternative rock']",androp,0.726,0.584,0.56,0.0,2,0.096,-7.3,1,0.0384,74.997,0.338,6,medium_term,4s6ZktLNLZnk1osl3Vf1ZO,Koi,55,2019-02-20,D
6,['escape room'],Anderson .Paak,0.0112,0.676,0.56,0.00403,4,0.137,-6.024,0,0.0643,178.555,0.551,7,medium_term,4SBVWkRIMJ6WBCYPvr5Bwr,Make It Better (feat. Smokey Robinson),71,2019-04-12,E
7,['turntablism'],C2C,0.00461,0.698,0.829,0.117,2,0.101,-7.194,0,0.127,120.0,0.416,8,medium_term,5gtuTd7og1AADSAa2oYy3m,Delta,51,2012-01-01,D
8,"['metal guitar', 'neo classical metal', 'shred']",Paul Gilbert,0.322,0.356,0.616,0.954,6,0.0908,-9.146,0,0.0383,143.677,0.548,9,medium_term,7lil49sUFoQaFGhLQNRgH6,I Own a Building,32,2019-05-17,F#
9,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",The Game,0.127,0.753,0.905,0.0,6,0.269,-3.311,0,0.239,127.069,0.585,10,medium_term,2tbvAGoLMQgjvfgW7naBiE,El Chapo,61,2016-01-22,F#
10,"['anime rock', 'j-pop']",Official HIGE DANdism,0.00157,0.57,0.758,0.0,8,0.367,-3.997,1,0.0323,97.959,0.707,11,medium_term,0YSwpzZT1sUkrL3kTIoHE2,Itan na star,38,2017-04-19,G#
11,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer,0.731,0.764,0.326,0.0013,7,0.24,-9.883,1,0.0342,123.98,0.237,12,medium_term,3SktMqZmo3M9zbB7oKMIF7,Gravity,75,2006-09-11,G
12,"['late romantic era', 'violin']",Pablo de Sarasate,0.909,0.49,0.103,0.0238,9,0.0987,-20.007,0,0.0627,84.019,0.26,13,medium_term,5u8nn1mjHzMtaCm0Lfo0Qk,Sarasate : Caprice basque Op.24,12,1993-11-10,A
13,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",J. Cole,0.149,0.837,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,0.463,14,medium_term,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,87,2019-01-23,G#
14,[],Nito,0.858,0.709,0.381,0.593,10,0.112,-8.049,0,0.0384,139.765,0.26,15,medium_term,3kzMcBgOeIzwNQW2VTJQcF,Isolation,41,2018-08-12,A#
15,['escape room'],Anderson .Paak,0.0779,0.771,0.889,6.53e-05,7,0.0426,-7.93,1,0.0777,108.015,0.882,16,medium_term,5ri4b7YQp2PWn8tl3MRYgE,King James,64,2019-04-12,G
16,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",Joyner Lucas,0.234,0.918,0.837,0.0,1,0.227,-6.792,1,0.255,120.017,0.855,17,medium_term,36TO60sxDduIsO3xH8IcUh,Isis,80,2019-05-23,C#
17,"['japanese jazz', 'japanese math rock', 'japanese post-rock']",fox capture plan,0.0979,0.373,0.667,0.577,11,0.12,-6.373,0,0.0386,124.048,0.71,18,medium_term,19g05c3N1AuJ5qcdsqg8qS,LIFE,40,2018-10-10,B
18,['turntablism'],C2C,0.177,0.681,0.83,8.25e-05,7,0.141,-6.352,0,0.248,68.012,0.555,19,medium_term,78orLDLxWpOZINipGYrV0g,Who Are You,40,2012-01-01,G
19,['turntablism'],C2C,0.00028,0.657,0.607,0.695,11,0.2,-6.612,0,0.0434,91.023,0.19,20,medium_term,1TDuaeF7FnV74z57NK7hh4,Arcades,39,2012-01-01,B
20,['turntablism'],C2C,0.0266,0.753,0.92,0.174,5,0.624,-4.657,0,0.0933,120.014,0.549,21,medium_term,2ZXWOCdQ2IJ63RBOjuQVR3,Happy,50,2012-01-01,F
21,['turntablism'],C2C,0.0128,0.643,0.619,0.415,9,0.351,-9.514,0,0.0357,128.785,0.14,22,medium_term,4YG11F0CV02cJEFUH7NUBn,F.U.Y.A.,40,2012-01-01,A
